ID,Comments
376,Still you … Only you 🤍
377,This will be played at my wedding 🤍
378,Now tell me about it 🤍
379,"go to pinterest put ur name and then “core”

Soph core 🤍 (me if I was a tad more artsy but I will not complain:) )"
380,my ex orchestra putting an invitation to their next concert in my mailbox is Really bold... audacious even.... i respect it. however i will NOT attend 🤍
381,happy for you 🤍
382,take care of yourself 🤍 nobody deserves this :(
383,death is inevitable may He grant us a good death that allows us to reunite with loved ones in Jannah 🤍
384,Go to hell 🤍
385,"it will be, just time will heal. I’m taking it one day at a time as well 🤍"
386,"With TJ Monterde song pa nga, doble kilig for me.🤍 #ViBrent"
387,"“When somebody really loves you, nothing will stop them from expressing it, not their pride, not their ego, nothing” 🤍"
388,🤍
389,"THIS PART !!! 🤍 especially when she goes “I fall for you, you’re my high tide, need you here with me on my side” 
#WithoutYou #KARD"
390,"hello happy (belated) birthday to my baby! thank you for always bringing lots of happiness to the people around you. i hope your smile never fades from your beautiful face, you are always healthy, happy and always surrounded by lots of love! i love youuu Damdam. 🤍"
391,🤍
392,"For someone who gives the surpise gift, thankyou very much.🤍"
393,#Welcome_Home_YoungK 🤍
394,Thinking of you Clare 🤍
395,take care and enjoy your rest 🤍
396,"Day 56 of mentioning until he responds to me or send me his autograph t-shirt 🤍
-
-
#mufc #manu #manufc #united"
397,"Hello everyone!! Happy belated Easter if you celebrate, I forgot about yesterday being a holiday so that's why there was no update. Frozen Letters chapter 2 will be out later tonight!! 🤍"
398,"Happiest beautiful birthday one of my favorite people I hope you have the best day with the people you love 🤍 Thank you for being the biggest inspiration in my life. Sending you the biggest hug I love you foolishly, timelessly, loudly with no buts 
- your Michelle"
399,"...where i can just post about and keep up with my ults without having my timeline clogged with fan wars, negativity etc. i'll tweet my new account on my circle. i'll leave this account active for another day or two before deactivating. take care all 🤍 (2/2)"
400,"MELODY OF SCENTS D3
#DOJAEJUNG_Commitment 🤍"
401,까항🤍
